Code,District,Votescount_200606,LB_200606,S.O.S._200606,Misia.21_200606,SDL_200606,ZRS_200606,KDH_200606,SLNKO_200606,ANO_200606,HZD_200606,SMK.MKP_200606,SF_200606,OKS_200606,PS_200606,LS.HZDS_200606,ASV_200606,KSS_200606,SLS_200606,SDKU.DS_200606,Smer_200606,SNS_200606,Votescount_201006,EDS_201006,Unia_201006,SRK_201006,PalihoKapurkova_201006,SaS_201006,SDL_201006,SMK.MKP_201006,LS.HZDS_201006,KSS_201006,SNS_201006,ND_201006,ZRS_201006,KDH_201006,LSNS_201006,SDKU.DS_201006,AZEN_201006,Smer_201006,Most_201006,Votescount_201203,Zeleni_201203,KDH_201203,SDL_201203,SNS_201203,OLaNO_201203,SaS_201203,PaS_201203,NAS.KRAJ_201203,SZ_201203,LSNS_201203,Smer_201203,ZZ_201203,NaS...ns_201203,KSS_201203,SPRUS_201203,Most_201203,X99._201203,LS.HZDS_201203,X.1.HLAS_201203,SF_201203,OLaNO_201203.1,SDKU.DS_201203,SOSKA_201203,SMK.MKP_201203,ANO_201203,SZS_201203,Votescount_201603,TIP_201603,SMS_201603,OLaNO_201603,DS...Ludo.Kanik_201603,SANCA_201603,Rodina_201603,SZS_201603,KOALICIA.ZA.SPOLOCNE.SLOVENSKO_201603,MKDA.MKDSZ_201603,VZDOR_201603,Most_201603,SNS_201603,Odvaha...Velka.narodna.a.proruska.koalicia_201603,KSS_201603,SDKU.DS_201603,Smer_201603,KDH_201603,SKOK_201603,LSNS_201603,Siet_201603,SMK.MKP_201603,PD_201603,SaS_201603
SK0215,Senec,25682,43,9,26,24,26,1734,33,262,83,6167,990,104,35,1580,39,716,42,6685,4683,2270,33823,90,258,8,187,5524,644,1563,813,202,1321,98,20,2325,178,8059,21,6841,5671,34580,106,2868,34,1177,3711,3787,138,12,225,253,9572,515,178,190,4,5375,544,146,15,142,83,3439,46,1716,273,31,42596,158,35,5792,35,99,3524,256,53,37,28,5114,2544,26,130,132,6954,1407,500,2095,2568,2146,47,8916
SK0216,Senica,22015,106,13,29,45,44,2390,31,378,97,97,692,31,29,2309,41,1197,64,4843,7352,1972,25571,70,212,23,157,3714,807,9,1275,305,1108,277,57,2602,250,4550,27,9754,374,26408,98,2767,29,1112,2648,1599,88,8,109,364,13375,322,184,271,10,637,480,119,13,95,65,1693,39,4,235,44,27586,243,37,3308,28,42,2501,248,21,3,35,850,1956,32,279,227,8665,1656,305,2266,1613,9,22,3240
SK0217,Trnava,54561,181,19,49,53,114,6631,118,643,358,271,2078,150,69,5535,147,1891,175,11533,18066,6146,62558,187,326,30,404,9185,1736,27,2444,379,3151,902,87,7164,817,10366,69,24100,1184,65374,168,6958,91,2406,10802,3605,219,20,252,1228,31018,701,502,356,15,930,637,522,19,185,156,3893,76,24,521,70,67747,275,68,10954,49,78,5541,570,54,6,77,1557,5288,55,326,106,19692,3607,416,5845,3838,31,67,9247
SK0221,Banovce nad Bebravou,17081,36,6,19,26,61,1538,17,174,160,33,518,33,18,2242,27,958,17,1823,6745,2547,17860,38,95,19,81,1478,580,5,1045,236,1090,73,39,1595,310,1726,12,9291,147,18860,50,1664,88,1010,1153,722,122,6,57,191,11654,160,178,174,9,114,367,196,3,40,29,641,15,2,183,32,18575,99,23,1445,11,28,1461,118,10,NA,23,247,2128,10,171,69,7638,967,114,1603,825,0,36,1549
SK0222,Ilava,27852,58,13,27,22,79,2225,98,319,127,91,945,48,43,4943,28,1088,45,3964,9452,4112,29794,72,192,14,175,3447,935,4,1941,335,2027,92,74,2566,375,3581,11,13583,370,30731,90,2552,82,1837,2496,1545,213,19,184,484,17339,301,199,271,9,310,427,432,5,150,52,1383,28,1,282,40,30586,147,43,2930,21,35,2644,263,22,1,30,509,3463,28,169,59,10984,1408,313,2998,1375,3,37,3104
SK0223,Myjava,12655,27,10,13,12,42,321,18,174,1277,34,455,27,16,1480,18,728,20,2294,4018,1595,12826,17,107,4,82,1938,485,3,787,147,853,58,60,354,61,2128,8,5549,185,13154,35,459,30,826,1195,936,67,7,72,156,6952,270,114,159,3,238,295,223,3,94,29,844,11,1,118,17,13100,154,26,1495,18,31,1079,113,13,2,32,304,1415,14,119,34,4582,182,131,866,677,1,13,1799
SK0224,Nove Mesto nad Vahom,28194,49,14,24,44,127,2240,31,458,248,97,951,83,62,3934,112,1629,64,5000,9069,3794,30213,71,200,14,183,3824,904,11,1840,415,1854,195,68,2214,391,4663,26,12942,398,30958,87,2378,57,1667,2661,1988,154,5,192,461,16507,395,294,362,17,397,594,361,3,105,60,1800,31,8,317,57,31892,177,39,3301,38,47,2589,307,19,1,36,667,2988,34,313,93,10832,1211,194,3208,1754,11,20,4013
SK0225,Partizanske,21432,59,17,18,39,46,2300,29,251,91,67,590,35,50,2661,16,1133,43,2755,7813,3328,22418,47,101,7,112,2562,653,5,1536,239,1507,38,56,2393,211,2508,9,10200,234,23478,60,2343,62,1360,1798,1002,65,5,66,402,13235,242,156,219,6,193,493,280,27,80,40,1070,11,2,215,46,22766,104,40,2010,15,32,1703,182,13,1,16,373,2421,28,135,31,8776,1342,137,2000,1118,8,23,2258
SK0226,Povazska Bystrica,29953,48,16,25,26,150,2392,60,298,73,46,987,75,31,4499,31,1296,63,3603,9044,7119,31613,49,171,6,179,3693,801,4,1719,278,3413,104,97,2465,407,3243,11,14691,282,32915,87,2417,40,3093,2120,1558,156,5,518,439,18599,611,274,286,10,231,376,400,8,122,35,1232,17,3,240,38,32358,130,39,2684,26,46,2220,226,19,3,80,435,4562,35,224,57,11566,1528,281,3122,1645,6,25,3399
SK0227,Prievidza,63796,121,143,58,53,162,3550,90,821,217,305,1988,115,84,8141,188,3319,120,9141,23686,11192,67845,136,546,20,370,9303,1778,27,3190,702,5257,151,194,3853,685,8217,45,32475,896,70939,157,4163,135,4272,6700,3505,244,19,301,755,41346,801,780,620,15,1056,1086,613,11,258,136,3078,110,11,699,68,70401,337,76,6263,45,97,5213,522,42,2,72,1288,7805,90,613,149,26208,1879,445,6188,5341,15,82,7629
SK0228,Puchov,20906,34,6,16,19,110,1910,43,194,48,27,764,17,24,3298,20,823,34,2558,7448,3454,22205,47,167,14,134,2514,557,8,1024,230,1747,48,121,1847,310,2584,11,10569,273,22894,76,1808,26,1416,1775,1158,92,5,287,380,13167,212,196,212,3,214,263,177,5,105,52,1018,23,5,206,13,23277,124,78,2386,16,19,1579,176,18,2,33,403,2706,25,176,31,8793,1112,158,2030,1140,4,32,2236
SK0229,Trencin,52469,145,26,59,57,127,5283,65,630,547,254,1977,164,105,8027,63,2044,84,10121,15962,6484,57932,102,394,12,354,8214,1463,8,4286,636,3072,254,125,6050,460,9318,35,21795,1354,58056,177,5987,94,3030,6259,3695,412,37,350,602,28071,709,425,592,8,1157,927,944,12,218,108,3514,79,14,540,95,60304,300,84,7293,45,167,4819,561,44,7,55,1734,5955,63,555,122,18397,3281,637,4473,3199,22,71,8420
SK0231,Komarno,46859,192,60,34,27,32,403,35,288,46,35696,468,60,30,1050,28,549,16,2963,3513,1269,51441,196,115,32,113,2511,432,17817,614,158,808,22,20,452,95,4415,30,4202,19409,44748,105,704,32,600,1143,1213,58,7,94,118,5484,203,58,145,12,13947,485,133,9,84,24,1156,22,18694,191,27,41357,248,38,1960,22,53,1237,118,10,337,24,11558,1106,19,111,38,3974,252,222,851,1102,16108,23,1946
SK0232,Levice,51683,335,49,43,103,129,2618,60,1005,215,17009,1319,143,38,4144,106,1481,44,6948,11820,3802,55795,280,305,92,240,6584,1321,7618,1663,360,2055,214,147,2671,845,6947,79,14409,9965,51974,164,2960,121,1639,4283,2410,220,16,198,837,18017,519,196,330,51,8696,858,359,11,150,68,2437,41,6911,422,60,52408,533,85,4948,40,70,3501,340,21,113,54,6840,3529,59,289,88,12445,1529,363,3575,2455,7019,66,4446
SK0233,Nitra,74152,216,82,67,144,117,5693,372,811,193,6000,2293,205,69,7746,173,2663,117,13429,24927,8546,80136,180,463,48,449,8582,1902,1693,3304,429,4394,233,134,6089,1124,12805,37,33052,5218,81853,152,6636,103,4207,5370,5246,282,26,338,1220,41248,1094,571,407,13,5293,1073,636,15,272,91,5135,84,1467,795,79,84041,378,82,8597,66,194,5982,582,44,33,72,4989,7683,51,346,145,26660,3642,603,7064,4384,1776,63,10605
SK0234,Nove Zamky,68871,294,48,33,48,150,2553,78,569,165,31689,1222,85,49,4151,67,1474,63,6361,13850,5764,73586,221,257,81,271,5979,1113,13364,1503,313,3221,106,72,2665,482,7524,124,18759,17531,68864,166,2965,76,2440,2994,2484,305,15,160,660,23136,424,216,241,28,15412,828,326,18,137,86,2387,37,12716,532,75,65867,301,67,4445,39,132,3982,340,30,214,58,11860,4363,49,266,73,15700,1681,351,3627,2232,11430,46,4581
SK0235,Svidnik,12931,81,22,28,8,74,1073,44,359,169,18,343,19,8,1147,14,898,15,1714,5744,1087,13770,142,72,104,78,898,495,10,706,146,556,16,59,1196,175,1429,34,7481,173,14887,60,1122,213,496,624,438,64,329,41,94,9453,154,70,141,20,182,226,114,6,57,20,630,10,7,288,28,14286,179,130,1059,13,42,625,90,3,NA,57,385,1412,47,180,79,6215,813,93,1071,965,9,35,784
SK0236,Topolcany,33921,79,26,29,48,61,3060,99,377,101,84,764,57,34,4621,35,1556,51,4148,13569,4969,36740,75,143,11,166,3389,853,3,2277,335,2116,56,87,3184,311,3492,25,19895,322,38440,82,3109,42,2212,2482,1398,107,7,138,367,24598,328,244,253,7,317,356,449,11,110,46,1322,25,6,397,27,37262,212,43,3141,26,44,2580,244,22,4,34,508,4408,73,232,45,15883,1851,184,3397,1343,7,51,2930
SK0237,Zarnovica,12054,27,12,12,8,45,1070,19,198,59,37,376,32,11,1496,16,773,36,1382,4380,2027,13176,34,124,11,82,1437,398,3,748,206,947,37,56,1283,330,1329,25,5909,217,13093,38,1207,40,749,1118,511,39,3,50,313,7331,94,118,198,11,137,277,162,2,59,26,468,19,1,107,15,13017,129,25,1382,12,20,984,131,5,1,28,307,1416,11,164,23,4528,680,108,1502,504,1,13,1043
SK0311,Bytca,13615,33,5,21,8,45,1320,19,83,103,19,219,28,10,1768,37,561,28,1147,4204,3922,14604,30,52,2,49,1122,408,5,702,152,2280,28,27,1342,107,1114,4,7060,120,15996,19,1285,10,2467,825,421,52,2,34,88,9559,103,103,131,0,79,175,92,3,34,15,397,14,1,75,12,15454,79,30,1243,8,37,1050,80,10,1,11,172,2606,11,83,66,5851,729,111,1628,661,2,9,976
SK0312,Cadca,38021,56,159,37,32,121,3001,42,165,395,44,731,34,17,5498,26,1159,46,2909,15978,7316,40867,87,168,13,133,2676,844,4,3036,347,4024,45,92,2891,424,2839,17,22847,380,43930,67,3033,19,3280,2184,1200,100,5,106,389,29831,193,566,244,3,221,653,474,17,71,45,891,36,8,233,61,42575,211,50,2836,16,79,1765,186,40,3,48,336,5511,13,212,112,19390,1877,193,4605,2322,8,31,2731
SK0313,Dolny Kubin,16420,69,12,9,12,90,3204,22,251,28,42,631,44,52,1538,19,630,38,2738,4790,2143,18290,32,83,5,112,2778,467,9,640,175,928,28,65,3674,124,2572,18,6233,347,19210,47,3319,15,871,2745,1043,52,6,82,181,8244,162,147,182,4,273,366,120,4,51,45,1046,30,4,152,19,20567,96,28,2559,10,36,950,120,40,1,40,338,2043,50,161,53,5276,2103,104,2589,1433,4,21,2512
SK0314,Kysucke Nove Mesto,15667,34,15,6,9,31,1181,15,171,80,15,426,29,13,2160,10,613,18,1218,5710,3866,16336,35,53,4,72,1285,335,1,1045,153,1929,24,24,1172,209,1194,8,8626,167,17472,28,1104,9,1817,916,542,36,3,28,232,11314,83,135,85,1,120,195,159,2,41,28,453,19,3,107,12,17284,75,37,1396,9,22,953,103,25,NA,21,149,3026,10,86,20,6789,637,77,1933,701,2,11,1202
SK0315,Liptovsky Mikulas,33571,141,20,37,42,102,1651,41,998,112,143,1308,82,32,2920,49,1814,53,6620,11900,5345,36314,87,313,31,242,6103,1284,13,1190,410,2612,95,114,2071,641,6161,23,14344,580,36669,123,2374,91,2804,3989,2613,184,19,138,893,17564,486,345,356,11,575,710,255,21,161,59,2257,108,14,429,90,40480,226,61,4347,38,111,2956,322,27,3,65,1254,5311,54,291,66,11518,1268,360,3631,2077,17,44,6433
SK0316,Martin,44163,62,53,34,42,160,2667,198,922,107,209,2316,134,134,3461,69,2274,42,8901,15578,6488,47260,72,340,36,304,8282,1513,17,1694,535,3044,90,147,2846,392,7869,33,19235,811,48901,131,3121,49,3461,5600,3410,253,32,210,538,24079,597,278,528,6,1629,761,273,11,241,121,2982,69,18,447,56,50019,323,56,6472,26,81,4273,487,22,4,85,1206,5651,88,404,69,15207,1638,414,3959,2718,13,162,6661
SK0317,Namestovo,20048,41,13,16,69,61,4888,38,113,117,21,299,28,17,3044,12,333,20,1918,4892,4032,22765,55,66,6,68,2219,508,4,1048,70,1458,88,88,5689,122,1927,12,9141,196,25604,66,5117,20,1413,2896,667,58,12,39,228,12732,109,151,98,5,148,433,312,2,53,59,652,121,5,184,24,28396,198,62,3043,24,55,1124,77,19,2,41,189,3491,21,103,53,6889,4223,93,2972,4228,2,14,1473
SK0318,Ruzomberok,25739,82,10,27,21,87,4462,34,427,80,84,726,76,24,2268,25,1119,63,3948,7504,4569,28476,53,183,17,181,3439,716,12,975,338,2404,48,97,4614,244,3999,55,10680,421,29576,83,4696,62,2544,2851,1329,128,11,99,440,13411,353,299,276,8,446,521,197,5,82,51,1267,42,10,324,41,30833,149,58,4163,24,52,1805,224,16,4,44,558,3550,26,196,59,8592,3005,196,3324,1686,11,41,3050
SK0319,Turcianske Teplice,8073,38,6,12,9,24,435,41,139,19,33,295,15,14,938,12,636,21,1148,2914,1284,8510,31,65,3,67,1003,308,4,445,157,700,19,43,508,86,1027,10,3935,99,8741,42,572,7,757,630,372,23,4,30,81,4907,76,67,149,1,147,214,126,4,44,17,389,24,6,41,11,8781,118,20,806,6,13,740,76,4,4,11,160,1027,11,88,58,3447,235,64,800,353,5,18,717
SK031A,Tvrdosin,15264,18,7,16,8,38,3612,46,90,28,22,488,18,10,1712,12,375,33,1286,4442,2951,16853,33,65,5,70,2073,380,2,891,58,1783,23,78,4003,137,1385,10,5692,165,18044,32,3367,8,1131,2857,594,39,4,17,219,7750,95,359,65,1,119,242,445,6,44,37,420,47,1,128,17,19468,82,19,2817,12,27,876,85,7,6,17,161,2904,24,67,46,4697,2344,93,2205,1343,2,10,1624
SK031B,Zvolen,30971,81,18,50,42,175,1726,36,612,147,240,1261,114,37,2550,66,1591,43,7089,10455,4527,33622,52,236,66,187,5846,977,24,1636,442,1604,111,160,2110,597,6399,79,12269,827,33688,121,2382,50,1509,4091,2400,137,12,197,671,15721,489,229,435,8,852,602,474,10,142,78,2623,39,18,324,74,34434,205,47,3823,30,97,2681,400,31,7,54,1213,3502,56,347,72,10226,1216,343,2730,2088,18,79,5169
SK0321,Banska Bystrica,51409,104,24,50,53,419,3157,73,1036,162,463,2620,205,103,3714,70,2186,165,14134,15327,7095,56360,92,558,31,315,10283,1549,35,1949,482,2281,237,362,3813,1216,13133,244,18297,1483,55564,140,4395,86,2169,6640,4565,289,23,285,1664,23908,798,386,553,23,1759,879,423,13,256,145,5216,348,31,486,84,58296,756,123,7548,26,400,3577,531,42,9,66,2299,5311,90,347,170,15279,1789,570,5440,3669,32,100,10122
SK0322,Banska Stiavnica,7592,32,3,14,11,51,677,14,166,31,71,358,25,14,793,12,481,27,1106,2453,1197,7998,19,63,22,49,1064,282,7,381,112,450,21,35,722,150,1129,17,3268,207,7757,35,766,13,378,640,348,27,2,29,185,4112,94,50,81,4,178,140,83,4,27,9,449,21,2,58,22,7791,56,25,762,5,18,453,59,5,1,13,281,944,13,78,25,2496,365,142,852,305,7,15,871
SK0323,Brezno,26487,147,19,31,30,132,1589,36,343,149,113,814,80,27,2170,40,1871,54,3884,9723,5018,28426,153,244,256,155,4103,863,12,1021,396,1932,58,142,1779,1027,3758,93,12036,398,28916,79,1934,96,1555,2525,1325,116,21,63,1663,15476,321,233,364,48,334,602,210,3,89,51,1420,92,10,212,74,29539,277,92,2579,27,90,1693,177,13,1,57,734,3178,28,289,58,9863,903,263,4152,1918,12,49,3086
SK0324,Detva,14978,38,9,24,50,121,1099,86,155,62,41,381,36,7,1903,42,814,29,1795,5718,2517,15566,44,112,57,67,1754,458,2,966,152,1056,48,66,1264,300,1502,28,7424,266,16674,37,1308,6,863,1351,656,37,9,43,307,10063,179,111,159,3,146,255,205,3,43,29,693,15,2,127,24,15949,124,31,1257,20,236,961,84,8,3,35,256,2193,21,138,19,6025,764,103,1752,556,1,7,1355
